Comune,Cratere Centro Italia 2016,Variaz
San Ginesio,1,-2.2416316927181277
San Giorgio di Pesaro,0,-11.04112079303095
San Giovanni Teatino,0,3.4509264098940244
San Giustino,0,17.945882177264686
San Lorenzo Nuovo,0,-24.18914039687145
San Lorenzo in Campo,0,0.6250142013311047
San Marcello,0,-9.273968682352594
San Martino sulla Marrucina,0,8.72357121165316
San Paolo di Jesi,0,-11.933352359665575
San Pio delle Camere,0,47.87739338280881
San Severino Marche,1,-4.806449204074971
San Valentino in Abruzzo Citeriore,0,0.40433907396128776
San Venanzo,0,-6.36944616016048
San Vito Chietino,0,-10.330029055719816
Sansepolcro,0,-1.9982210161254899
Sant'Anatolia di Narco,1,-14.4076032537788
Sant'Angelo in Pontano,1,-23.110930210240973
Sant'Angelo in Vado,0,-6.198588941526557
Sant'Egidio alla Vibrata,0,23.97182529320122
Sant'Elpidio a Mare,0,2.6333488288279976
Sant'Eusanio Forconese,0,-2.1310766919170674
Sant'Eusanio del Sangro,0,-7.3043637891638475
Sant'Ippolito,0,-8.335914583615182
Sant'Omero,0,6.399042718270935
Sant'Oreste,0,-4.845318043431144
Santa Maria Nuova,0,-1.3821098119066748
Santa Vittoria in Matenano,1,-9.929799587625784
Sante Marie,0,121.37975999333628
Santo Stefano di Sessanio,0,-3.225035103464782
Sarnano,1,-5.394781572282613
Sarteano,0,4.1723078550457355
Sassocorvaro,0,-21.839174420787103
Sassoferrato,0,-5.255120093998889
Scafa,0,11.522869893579779
Scandriglia,0,-9.88644699732461
Scheggia e Pascelupo,0,-1.0022696190582363
Scheggino,1,-13.583316604424148
Scoppito,0,-1.2009357096475806
Secinaro,0,-7.9103572813776415
Sefro,1,-7.661345779987505
Selci,0,3.1295626507305316
Sellano,1,97.96441397991632
Senigallia,0,-3.844000841840265
Serra San Quirico,0,-7.52359640232378
Serra Sant'Abbondio,0,-13.002196619049963
Serra de' Conti,0,-1.3985693642747887
Serramonacesca,0,-5.115138621309443
Serrapetrona,1,-8.092851223376089
Serravalle di Chienti,1,-9.379010912341034
Serrungarina,0,-3.2153901722851033
Servigliano,1,-17.06126004651217
Sestino,0,-13.203123876663279
Sigillo,0,-34.527560951882215
Silvi,0,-11.637312831426758
Sinalunga,0,-9.248113909236427
Sirolo,0,-8.012683001738761
Smerillo,1,-36.91620967976003
Soriano nel Cimino,0,14.325590518471994
Spello,0,2.3686107091856825
Spinetoli,0,9.556838776450363
Spoleto,1,-14.439637128598273
Spoltore,0,3.8293906379772147
Staffolo,0,-3.3791055839565867
Stimigliano,0,-4.992438566539576
Stroncone,0,3.9137872161575724
Subbiano,0,1.6742446955544017
Sutri,0,-3.5760210590142534
Tarano,0,-6.711108389545991
Tarquinia,0,25.313089290787477
Teramo,1,0.3675499608810773
Terni,0,-2.3609738525137947
Tione degli Abruzzi,0,-17.02037424829293
Tocco da Casauria,0,-2.4973216479892195
Todi,0,-3.639384036391021
Toffia,0,49.682423668625844
Tolentino,1,-4.025662205713743
Tolfa,0,1.4592699604202288
Tollo,0,-1.5781641359711411
Torano Nuovo,0,-11.634959269640841
Torgiano,0,-5.746010324776888
Tornimparte,0,-10.27593085670477
Torre San Patrizio,0,-3.08147895275354
Torre de' Passeri,0,8.07811345908787
Torrevecchia Teatina,0,-1.1347945963490882
Torri in Sabina,0,19.400712530579167
Torricella Sicura,1,1.7162144329300268
Torricella in Sabina,0,1.325814937503832
Torrita Tiberina,0,4.903699974099707
Torrita di Siena,0,-10.286149963090397
Tortoreto,0,-17.499815271548876
Tossicia,1,-14.933664128133673
Trecastelli,0,-1.905820679812698
Treia,1,-18.015710992919136
Trevi,0,-11.32890466422941
Trevignano Romano,0,28.38506632303884
Tuoro sul Trasimeno,0,-12.702745526610046
Turrivalignani,0,51.52992488739305
Tuscania,0,14.575985441991083
Umbertide,0,-1.7741581554042127
Urbania,0,-12.311640959383638
Urbino,0,-2.6764332914965863
Urbisaglia,1,3.832660944645341
Ussita,1,-63.77999404633514
Vacone,0,-7.334452654546878
Vacri,0,-10.768829521872672
Valentano,0,5.9513756791172705
Valfabbrica,0,-6.069494525482611
Valle Castellana,1,-13.247831411274491
Vallerano,0,-1.4890054936147807
Vallo di Nera,1,-15.279225104123748
Valtopina,0,-9.962864540562201
Varco Sabino,0,-22.26270673632785
Vasanello,0,9.006757268056978
Vejano,0,-7.742130366283555
Venarotta,1,-12.368561437453053
Verghereto,0,-1.5162511581234306
Vetralla,0,9.214319522707303
Vicoli,0,30.156277276456265
Vignanello,0,-8.800577982800032
Villa Celiera,0,16.01540252948123
Villa San Giovanni in Tuscia,0,12.304198494152132
Villa Sant'Angelo,0,-15.158288129799544
Villa Santa Lucia degli Abruzzi,0,-10.222365093495483
Villamagna,0,-4.337131170900039
Visso,1,-39.94060959305335
Viterbo,0,7.166066543753334
Vitorchiano,0,15.85928932181524
