"SP_ID","assoc_comuni"
"2729 1","Belvedere Ostrense"
"2730 1","Belvedere Ostrense"
"2731 1","Jesi"
"2732 1","Trecastelli"
"2733 1","Morro d'Alba"
"2734 1","Ostra"
"2735 1","Belvedere Ostrense"
"2736 1","Ostra Vetere"
"2737 1","Montemarciano"
"2738 1","Ostra"
"2739 1","Monsano"
"2740 1","Jesi"
"2741 1","San Marcello"
"2742 1","Montemarciano"
"2743 1","Trecastelli"
"2744 1","Jesi"
"2745 1","Senigallia"
"2746 1","Monsano"
"2747 1","Trecastelli"
"2748 1","Monte San Vito"
"2749 1","Monte San Vito"
"2750 1","San Marcello"
"2751 1","Monte San Vito"
"2752 1","Monte San Vito"
"2753 1","Ostra"
"2754 1","Monte San Vito"
"2755 1","Trecastelli"
"2756 1","Monte San Vito"
"2757 1","Trecastelli"
"2758 1","Ostra"
"2759 1","Ostra"
"2761 1","Montecarotto"
"2762 1","Maiolati Spontini"
"2763 1","Morro d'Alba"
"2764 1","Trecastelli"
"2765 1","Ostra"
"2766 1","Monte San Vito"
"2767 1","Senigallia"
"2768 1","Ostra"
"2769 1","San Marcello"
"2770 1","Trecastelli"
"2771 1","San Marcello"
"2772 1","Morro d'Alba"
"2773 1","Morro d'Alba"
"2774 1","Monsano"
"2775 1","Monsano"
"2776 1","Montemarciano"
"2777 1","Morro d'Alba"
"2778 1","Cingoli"
"2779 1","Poggio San Vicino"
"2780 1","Cingoli"
"2781 1","Cingoli"
"2782 1","Cingoli"
"2783 1","Monte Roberto"
"2784 1","Jesi"
"2785 1","Jesi"
"2786 1","San Paolo di Jesi"
"2787 1","Staffolo"
"2788 1","Staffolo"
"2789 1","San Paolo di Jesi"
"2790 1","Cupramontana"
"2791 1","Maiolati Spontini"
"2792 1","Castelplanio"
"2793 1","Maiolati Spontini"
"2794 1","Cingoli"
"2795 1","Cingoli"
"2796 1","Castelplanio"
"2797 1","Filottrano"
"2798 1","Cingoli"
"2799 1","Cingoli"
"2800 1","Cingoli"
"2801 1","Cingoli"
"2802 1","Cingoli"
"2803 1","Apiro"
"2804 1","Castelplanio"
"2805 1","Maiolati Spontini"
"2806 1","Castelbellino"
"2807 1","Cupramontana"
"2808 1","Cupramontana"
"2809 1","Maiolati Spontini"
"2810 1","Cingoli"
"2811 1","Staffolo"
"2812 1","Cingoli"
"2813 1","Cingoli"
"2814 1","Cupramontana"
"2815 1","Cupramontana"
"2816 1","Cupramontana"
"2817 1","Jesi"
"2818 1","Cupramontana"
"2819 1","Monte Roberto"
"2820 1","Castelplanio"
"2821 1","San Paolo di Jesi"
"2822 1","Castelbellino"
"2823 1","Cupramontana"
"2824 1","Monte Roberto"
"2825 1","Cupramontana"
"2826 1","Poggio San Marcello"
"2827 1","Staffolo"
"2828 1","Cingoli"
"2829 1","Cupramontana"
"2830 1","San Paolo di Jesi"
"2831 1","Castelplanio"
"2832 1","Cupramontana"
"2833 1","Monte Roberto"
"2834 1","San Paolo di Jesi"
"2835 1","Castelplanio"
"2836 1","Jesi"
"2837 1","Monte Roberto"
"2838 1","Staffolo"
"2839 1","Jesi"
"2840 1","Jesi"
"2841 1","Monte Roberto"
"2842 1","Jesi"
"2843 1","Monte Roberto"
"2844 1","Chiaravalle"
