COMUNE,2015-04,2015-05,2015-09,2016-04,2016-05,2016-08,2016-09,2016-10,2017-04,2017-05,2017-09,2017-10,2018-04
Monte San Giusto,0,2.3423255689559457,-3.544544834397731,13.536654855701174,18.138527849082823,6.11008265970431,20.499437588817017,22.3292755036456,39.11556491164544,39.47543606368061,40.98047959161458,37.31099735449873,66.6427492617621
Monte San Martino,0,-11.055370103431708,-16.23359380927092,8.140734842291936,7.670605416887953,23.720418233444075,12.598231671850895,10.082378676377637,-12.61040196747843,-13.909067344409884,-26.17332713754646,-18.096439319222096,-14.03265379881816
Monte San Pietrangeli,0,3.3899060144447275,-4.81102523364978,5.570181694640412,8.14997476897845,-5.6400991585824025,6.52600372157566,9.068364241334711,10.767377866086344,10.811177342542651,6.287570568013373,1.7820788784810815,0.08137004446967401
Monte San Vito,0,8.538893929708275,-2.889089901074806,8.031830450797305,10.086025798031594,2.228862668910018,8.23526564349927,13.58997228753564,17.876820163939584,18.79410153647986,11.607172659730287,8.855421630669513,6.5901148460161885
Monte Urano,0,12.864769546530974,2.566609514595309,13.533825535590339,17.100210705038993,1.9110451937232165,15.154585927237108,15.914914912260326,19.74265812198741,17.42028518420816,20.812438195970493,20.36168509744269,15.348486198094555
Monte Vidon Combatte,0,2.0446921440870227,-1.5265210531195001,-10.397564511072863,-1.9187721586321687,1.3833384690871628,-9.022855512442153,-13.18496556776951,-12.164014606358267,-17.559582474890266,-14.145971775561788,-16.482017023949993,-9.535453661475362
Monte Vidon Corrado,0,-7.2279662284740285,-14.108403690679122,-21.599145777084335,-13.058337424489189,-0.6184580742560581,1.0804865560755283,-5.802031601281923,-9.47322066325186,-11.66000493045737,-13.160633879827483,-23.08739341046481,-18.514376637779243
Montecarotto,0,1.2007664663999151,-17.816138427353668,30.714149476273363,32.69595519832437,34.08941280913817,22.342634577644098,11.558304042484687,20.68588084552274,19.62325442374842,23.580102458114265,26.722939078896456,22.612203065711142
Montecassiano,0,-3.183317417552181,-10.049978920476844,9.66708183666583,10.239993976210018,-3.5372841087248363,0.4752283293593399,-31.271984221400515,7.509851046767385,9.15210233811305,10.15326383466218,8.941476928651172,8.069371563675777
Montecosaro,0,-1.105412547714579,-2.1193762030602357,10.351468430095517,10.195058147294631,1.3259274121317692,8.976518636497108,10.770106862893403,23.19044017546515,27.221084289108177,23.111890165232666,25.421267584329172,27.545235065740115
